Number,Name,Position,Experience,Height,Weight,Hometown,Side
41,Kobe King,Linebacker,Redshirt Freshman,"6' 1""",247,"Detroit, Mich. / Cass Tech",Defense
42,Jamari Buddin,Linebacker,Redshirt Freshman,"6' 2""",216,"Ypsilanti, Mich. / Belleville",Defense
42,Jackson Pryts,Linebacker,Freshman,"6' 3""",208,"Hermitage, Pa. / Hickory",Defense
43,Tyler Elsdon,Linebacker,Sophomore,"6' 2""",236,"Frackville, Pa. / North Schuylkill",Defense
44,Chop Robinson,Defensive End,Sophomore,"6' 3""",239,"Gaithersburg, Md. / Quince Orchard",Defense
44,Tyler Warren,Tight End,Sophomore,"6' 6""",256,"Mechanicsville, Va. / Atlee",Offense
45,Charlie Katshir,Linebacker,Redshirt Senior,"6' 3""",234,"Camp Hill, Pa. / Cumberland Valley",Defense
46,Nick Tarburton,Defensive End,Redshirt Senior,"6' 3""",258,"Green Lane, Pa. / Pennridge",Defense
47,Alex Furmanek,Defensive Tackle,Redshirt Junior,"6' 2""",297,"North East, Pa. / North East",Defense
47,Will Patton,Long Snapper,Freshman,"6' 4""",227,"New Castle, Pa. / Shenango",Offense
47,Will Patton,Defensive End,Freshman,"6' 4""",227,"New Castle, Pa. / Shenango",Defense
48,Tyler Duzansky,Long Snapper,Redshirt Freshman,"6' 4""",209,"Wheaton, Ill. / St. Francis Prep",Offense
48,Cody Romano,Linebacker,Redshirt Senior,"6' 2""",223,"Newton, N.J. / Blair Academy",Defense
49,Ben Chizmar,Linebacker,Redshirt Freshman,6',218,"Gibsonia, Pa. / Mars Area",Defense
49,Michael Wide Receiveright,Long Snapper,Redshirt Sophomore,"6' 1""",215,"Roswell, Ga. / Blessed Trinity",Offense
51,Hakeem Beamon,Defensive Tackle,Redshirt Junior,"6' 3""",264,"Midlothian, Va. / Manchester",Defense
51,Jimmy Christ,Offensive Lineman,Redshirt Sophomore,"6' 7""",316,"Sterling, Va. / Dominion",Offense
52,Dominic Rulli,Offensive Lineman,Freshman,"6' 3""",265,"Burlington, Ky. / The Taft School (Conn.)",Offense
52,Jordan van den Berg,Defensive Tackle,Redshirt Freshman,"6' 3""",295,"Johannesburg, South Africa / Providence Christian Academy",Defense
53,Nick Dawkins,Offensive Lineman,Sophomore,"6' 4""",315,"Allentown, Pa. / Parkland",Offense
54,Ian Harvie,Offensive Lineman,Freshman,"6' 2""",260,"Royersford, Pa. / Spring-Ford",Offense
55,Fatorma Mulbah,Defensive Tackle,Sophomore,"6' 3""",296,"Harrisburg, Pa. / Susquehanna Township",Defense
56,JB Nelson,Offensive Lineman,Redshirt Sophomore,"6' 5""",300,"Pittsburgh, Pa. / Mount Lebanon",Offense
56,Amin Vanover,Defensive End,Sophomore,"6' 4""",264,"Newark, N.J. / St. Joseph's",Defense
57,Ibrahim Traore,Offensive Lineman,Redshirt Sophomore,"6' 5""",312,"Bronx, N.Y. / Frederick Douglas Academy 1",Offense
58,Kaleb Artis,Defensive Tackle,Freshman,"6' 4""",315,"Westbury, N.Y. / St. Francis Preparatory School",Defense
58,Landon Tengwall,Offensive Lineman,Redshirt Freshman,"6' 6""",307,"Annapolis, Md. / Our Lady of Good Counsel",Offense
64,Hunter Nourzad,Offensive Lineman,Redshirt Senior,"6' 3""",312,"Marietta, Ga. / The Walker School",Offense
65,Jim Fitzgerald,Offensive Lineman,Freshman,"6' 7""",313,"Severna Park, Md. / Archbishop Spalding",Offense
66,Drew Shelton,Offensive Lineman,Freshman,"6' 5""",296,"Downington, Pa. / Downington West",Offense
69,Ben Hartman,Offensive Lineman,Freshman,"6' 4""",262,"Alpharetta, Ga. / Milton",Offense
70,Juice Scruggs,Offensive Lineman,Redshirt Senior,"6' 3""",310,"Ashtabula, Ohio / Cathedral Prep (Pa.)",Offense
71,Vega Ioane,Offensive Lineman,Freshman,"6' 4""",336,"Graham, WA / Graham-Kapowsin",Offense
72,Bryce Effner,Offensive Lineman,Redshirt Senior,"6' 5""",294,"Aurora, Ill. / Metea Valley",Offense
74,Olumuyiwa Fashanu,Offensive Lineman,Sophomore,"6' 6""",308,"Waldorf, Md. / Gonzaga College High School",Offense
75,Matt Detisch,Offensive Lineman,Freshman,"6' 6""",297,"Mars, Pa. / Mars Area",Offense
76,Sam Siafa,Offensive Lineman,Freshman,"6' 4""",269,"Downingtown, Pa. / Downingtown West",Offense
77,Sal Wormley,Offensive Lineman,Redshirt Junior,"6' 3""",302,"Newark, N.J. / Smyrna (Del.)",Offense
78,Golden Israel-Achumba,Offensive Lineman,Redshirt Sophomore,"6' 4""",315,"Bowie, Md. / DeMatha Catholic",Offense
79,Caedan Wallace,Offensive Lineman,Redshirt Junior,"6' 5""",301,"Robbinsville, N.J. / The Hun School",Offense
80,Malick Meiga,Wide Receiver,Sophomore,"6' 4""",200,"Saint Jerome, QC / Cegep du Vieux",Offense
81,Robert Rossi,Wide Receiver,Freshman,"6' 4""",189,"Archbald, Pa. / Scranton Prep",Offense
82,Liam Clifford,Wide Receiver,Redshirt Freshman,"6' 1""",199,"Maineville, Ohio / St. Xavier High School",Offense
83,Jake Spencer,Wide Receiver,Sophomore,"5' 10""",211,"Gladwyne, Pa. / Haverford School",Offense
84,Theo Johnson,Tight End,Sophomore,"6' 6""",260,"Windsor, Ont. / Holy Names Catholic",Offense
84,Jan Mahlert,Wide Receiver,Redshirt Freshman,"5' 11""",169,"Furstenfeldbruck, Germany / Fursty",Offense
86,Jason Estrella,Wide Receiver,Redshirt Freshman,"6' 2""",188,"Tallahassee, Fla. / Liberty (Bethlehem, Pa.)",Offense
86,Brenton Strange,Tight End,Redshirt Junior,"6' 3""",247,"Parkersburg, W.Va. / Parkersburg",Offense
87,Kolt Pearce,Tight End,Freshman,"6' 6""",210,"Baltimore, Md. / Gilman School",Offense
88,Jerry Cross,Tight End,Freshman,"6' 5""",254,"Milwaukee, Wis. / Rufus King",Offense
89,Grayson Kline,Tight End,Redshirt Senior,"6' 5""",263,"Sinking Spring, Pa. / Warwick",Offense
90,Rodney McGraw,Defensive End,Redshirt Freshman,"6' 5""",263,"Chicago, Ill. / Elkhart (Ind.)",Defense
91,Dvon Ellies,Defensive Tackle,Redshirt Junior,"6' 1""",295,"Burtonsville, Md. / McDonogh School",Defense
91,Chris Stoll,Long Snapper,Redshirt Super Senior,"6' 2""",255,"Westerville, Ohio / St. Francis DeSales",Offense
92,Jake Pinegar,Kicker,Redshirt Senior,"6' 2""",199,"Ankeny, Iowa / Ankeny Centennial",Defense
92,Smith Vilbert,Defensive End,Redshirt Junior,"6' 6""",256,"Monsey, N.Y. / St. Joseph's Regional (N.J.)",Defense
93,Sander Sahaydak,Kicker,Redshirt Freshman,6',176,"Bethlehem, Pa. / Liberty High School",Defense
94,Jake Wilson,Defensive End,Redshirt Sophomore,"6' 3""",249,"Nazareth, Pa. / Nazareth",Defense
96,Barney Amor,Punter,Redshirt Super Senior,"6' 1""",192,"Doylestown, Pa. / Central Bucks East",Offense
96,Mitchell Groh,Kicker,Redshirt Freshman,6',185,"Dallastown, Pa. / Dallastown Area",Defense
97,Alex Bacchetta,Punter,Freshman,"6' 2""",209,"Atlanta, Ga. / The Westminster Schools",Offense
97,PJ Mustipher,Defensive Tackle,Super Senior,"6' 4""",318,"Owings Mills, Md. / McDonogh School",Defense
98,Andrew Sharga,Defensive End,Freshman,"6' 4""",230,"Northampton, Pa. / Northampton Area",Defense
99,Coziah Izzard ,Defensive Tackle,Redshirt Sophomore,"6' 3""",292,"Columbia, Md. / DeMatha Catholic",Defense
99,Gabriel Nwosu,Punter,Redshirt Freshman,"6' 6""",268,"Derwood, Md. / The Bullis School",Offense
